input,summary
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n't like .,<triplet> food <opinion> pricey <sentiment> negative <triplet> prixe fixe tasting menu <opinion> greatest <sentiment> positive
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",<triplet> food <opinion> decent <sentiment> neutral <opinion> not great <sentiment> neutral <triplet> lemon salad <opinion> exception <sentiment> negative
The menu is very limited - i think we counted 4 or 5 entrees .,<triplet> menu <opinion> limited <sentiment> negative
"We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",<triplet> grilled branzino <opinion> difficult to eat <sentiment> negative
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic , just simple , small and sparse .",<triplet> decor <opinion> diner-ish <sentiment> neutral
This place is so much fun .,<triplet> place <opinion> fun <sentiment> positive
Our family never expected such incredible entertainment in a restaurant .,<triplet> entertainment <opinion> incredible <sentiment> positive
The staff was the friendliest that have seen in New York .,<triplet> staff <opinion> friendliest <sentiment> positive
If you want something really different than try Jekyll and Hyde .,<triplet> Jekyll and Hyde <opinion> different <sentiment> positive
The food was pretty tradional but it was hot and good with large portions .,<triplet> food <opinion> tradional <sentiment> positive <triplet> portions <opinion> large <sentiment> positive
The place is a lot of fun .,<triplet> place <opinion> fun <sentiment> positive
The characters really make for an enjoyable experience .,<triplet> characters <opinion> enjoyable <sentiment> positive
"However , I think Jeckll and Hydes t is one of those places that is fun to do once .",<triplet> Jeckll and Hydes <opinion> fun <sentiment> positive
Service was slow had to wait to order and get food although not crowded .,<triplet> Service <opinion> slow <sentiment> negative
Drinks way over priced .,<triplet> Drinks <opinion> over priced <sentiment> negative
Food was good not great not worth the wait or another visit,<triplet> Food <opinion> good not great not worth the wait or another visit <sentiment> neutral
Great pizza for lunch place .,<triplet> pizza <opinion> Great <sentiment> positive
Service was quick .,<triplet> Service <opinion> quick <sentiment> positive
The pizza was great .,<triplet> pizza <opinion> great <sentiment> positive
"Whenever you need a Sushi fix , Mizu will be there with quality fish and great service .",<triplet> fish <opinion> quality <sentiment> positive <triplet> service <opinion> great <sentiment> positive
Delivery is fast too .,<triplet> Delivery <opinion> fast <sentiment> positive
"Great friendly service , Fast seating , Fast Delivery , Excellent sushi .",<triplet> service <opinion> Great friendly <sentiment> positive <triplet> seating <opinion> Fast <sentiment> positive <triplet> Delivery <opinion> Fast <sentiment> positive <triplet> sushi <opinion> Excellent <sentiment> positive
Ess-A-Bagel ( either by Sty-town or midtown ) is by far the best bagel in NY .,<triplet> bagel <opinion> best <sentiment> positive
"The bagels always warm , soft on the inside , crispy on the outside and enormous in size .",<triplet> bagels <opinion> warm <sentiment> positive <opinion> soft <sentiment> positive <opinion> crispy <sentiment> positive <opinion> enormous <sentiment> positive
They have a huge selection of different cream cheeses and all of their salads are great .,<triplet> salads <opinion> great <sentiment> positive <triplet> cream cheeses <opinion> huge <sentiment> positive <opinion> different <sentiment> positive
The lox is always fresh too .,<triplet> lox <opinion> fresh <sentiment> positive
Not impressed with the food .,<triplet> food <opinion> Not impressed <sentiment> negative
Zero ambiance to boot .,<triplet> ambiance <opinion> Zero <sentiment> negative
I thought this place was totally overrated .,<triplet> place <opinion> overrated <sentiment> negative
"The ambience was nice , but service was n't so great .",<triplet> ambience <opinion> nice <sentiment> positive <triplet> service <opinion> was n't so great <sentiment> negative
This is the BEST Shabu-Shabu Restaurant in the Try-State Area .,<triplet> Shabu-Shabu Restaurant <opinion> BEST <sentiment> positive
"The atmosphere is nothing special , but it feels like a Sushi establishment in Tokyo .",<triplet> atmosphere <opinion> nothing special <sentiment> positive
The owner and staff are all Japanese as well and that adds to the entire ambiance .,<triplet> ambiance <opinion> adds <sentiment> positive
Taxan delicious !,<triplet> Taxan <opinion> delicious <sentiment> positive
Try green curry with vegetables .,<triplet> green curry with vegetables <opinion> Try <sentiment> positive
"The quantity is also very good , you will come out satisfied .",<triplet> quantity <opinion> good <sentiment> positive <opinion> satisfied <sentiment> positive
"The service is ok , some of the people did n't get what they asked for .",<triplet> service <opinion> ok <sentiment> neutral
I had the best ravioli ever .,<triplet> ravioli <opinion> best <sentiment> positive
The wine the service was very good too .,<triplet> wine <opinion> good <sentiment> positive <triplet> service <opinion> good <sentiment> positive
This quaint and romantic trattoria is at the top of my Manhattan restaurant list .,<triplet> trattoria <opinion> quaint <sentiment> positive <opinion> romantic <sentiment> positive
"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",<triplet> food <opinion> delicious <sentiment> positive <triplet> dishes <opinion> never a disappointment <sentiment> positive <triplet> specials <opinion> delicious <sentiment> positive <opinion> never a disappointment <sentiment> positive <triplet> regular menu-fare <opinion> delicious <sentiment> positive <opinion> never a disappointment <sentiment> positive
"Although the tables may be closely situated , the candle-light , food quality and service overcompensate .",<triplet> candle-light <opinion> overcompensate <sentiment> positive <triplet> food <opinion> overcompensate <sentiment> positive <triplet> service <opinion> overcompensate <sentiment> positive <triplet> tables <opinion> closely situated <sentiment> negative
"If you go , try the marinara/arrabiatta sauce , the mozzarella en Carozza is mmmmmmmm ... .. everything is just delicious .",<triplet> marinara/arrabiatta sauce <opinion> try <sentiment> positive <opinion> delicious <sentiment> positive <triplet> mozzarella en Carozza <opinion> delicious <sentiment> positive
Check out the secret back room .,<triplet> back room <opinion> secret <sentiment> positive
The food was authentic .,<triplet> food <opinion> authentic <sentiment> positive
Who has room for Cheesesticks with the best pizza in NYC !,<triplet> pizza <opinion> best <sentiment> positive
Always great service !,<triplet> service <opinion> great <sentiment> positive
"The food is good , I ca n't lie .",<triplet> food <opinion> good <sentiment> positive
The hostess and the waitress were incredibly rude and did everything they could to rush us out .,<triplet> hostess <opinion> rude <sentiment> negative <triplet> waitress <opinion> rude <sentiment> negative
Amma is nothing special .,<triplet> Amma <opinion> nothing special <sentiment> neutral
I ate here a week ago and found most dishes average at best and too expensive .,<triplet> dishes <opinion> average <sentiment> negative <opinion> too expensive <sentiment> negative
This place is always packed .,<triplet> place <opinion> packed <sentiment> neutral
"Most importantly , food is excellent .",<triplet> food <opinion> excellent <sentiment> positive
and yes Dal Bukhara is so dam good and so are all the kababs .,<triplet> kababs <opinion> good <sentiment> positive <triplet> Dal Bukhara <opinion> good <sentiment> positive
Haru on Park S is simply disgusting .,<triplet> Haru on Park S <opinion> disgusting <sentiment> negative
The fish was not fresh and the rice tasted old and stale .,<triplet> fish <opinion> not fresh <sentiment> negative <triplet> rice <opinion> old <sentiment> negative <opinion> stale <sentiment> negative
"Quite frankly , this is some of the worst sushi I have ever tried .",<triplet> sushi <opinion> worst <sentiment> negative
honestly the worst sushi my husband and i had in our entire lives .,<triplet> sushi <opinion> worst <sentiment> negative
not sure why this restaurant would be rated that highly .,<triplet> restaurant <opinion> highly <sentiment> negative
the all-u-can-eat sushi is definitely in very poor quality .,<triplet> all-u-can-eat sushi <opinion> poor quality <sentiment> negative
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar-soaked rice , and the scallion on top of the fish .",<triplet> soy sauce <opinion> salty <sentiment> negative <triplet> rice <opinion> vinegar-soaked <sentiment> negative
the waitstaffs are nice though .,<triplet> waitstaffs <opinion> nice <sentiment> positive
I have been to Roth 's twice and both times were very disappointing .,<triplet> Roth 's <opinion> disappointing <sentiment> negative
"Both times I was extremely dissappointed by the service , which was boarderline rude .",<triplet> service <opinion> dissappointed <sentiment> negative <opinion> rude <sentiment> negative
"The dinner was ok , nothing I would have again .",<triplet> dinner <opinion> ok <sentiment> negative
"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",<triplet> eggs benedict <opinion> worst <sentiment> negative
The service was attentive .,<triplet> service <opinion> attentive <sentiment> positive
Planet Thai is great !,<triplet> Planet Thai <opinion> great <sentiment> positive
"We love the food , drinks , and atmosphere !",<triplet> food <opinion> love <sentiment> positive <triplet> drinks <opinion> love <sentiment> positive <triplet> atmosphere <opinion> love <sentiment> positive
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",<triplet> svc <opinion> rude <sentiment> negative <triplet> restaurant <opinion> must <sentiment> positive
"Try the Pad Thai , it 's fabulous and their prices are so cheap !",<triplet> Pad Thai <opinion> Try <sentiment> positive <opinion> fabulous <sentiment> positive <opinion> cheap <sentiment> positive
"Just because it 's cheap does NOT mean the portions are small or the food is nasty , IT IS GREAT !",<triplet> portions <opinion> small <sentiment> positive <triplet> food <opinion> nasty <sentiment> positive
"Eating in , the atmosphere saves it , but at your desk , it 's a very disappointing experience .",<triplet> atmosphere <opinion> saves <sentiment> positive
Chennai Garden is my favorite Indian restaurant in the city .,<triplet> Chennai Garden <opinion> favorite <sentiment> positive
They have authentic Indian at amazin prices .,<triplet> Indian <opinion> authentic <sentiment> positive
It 's a rather cramped and busy restaurant and it closes early .,<triplet> restaurant <opinion> cramped <sentiment> negative <opinion> busy <sentiment> negative
Patroon features a nice cigar bar and has great staff .,<triplet> cigar bar <opinion> nice <sentiment> positive <triplet> staff <opinion> great <sentiment> positive
The food is tasty and portion sizes are appropriate .,<triplet> food <opinion> tasty <sentiment> positive <triplet> portion sizes <opinion> appropriate <sentiment> positive
This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,<triplet> restaurant <opinion> nice <sentiment> positive
Not a great place for family or general dining .,<triplet> place <opinion> Not a great <sentiment> negative
LOVE THIS PLACE .,<triplet> PLACE <opinion> LOVE <sentiment> positive
Food is excellent .,<triplet> Food <opinion> excellent <sentiment> positive
Fish is so very fresh .,<triplet> Fish <opinion> fresh <sentiment> positive
Love YUKA .,<triplet> YUKA <opinion> Love <sentiment> positive
Mermaid Inn is an overall good restaurant with really good seafood .,<triplet> seafood <opinion> good <sentiment> positive <triplet> Mermaid Inn <opinion> good <sentiment> positive
The menu is limited but almost all of the dishes are excellent .,<triplet> menu <opinion> limited <sentiment> negative <triplet> dishes <opinion> excellent <sentiment> positive
The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great .,<triplet> lobster sandwich <opinion> good <sentiment> positive <triplet> spaghetti with Scallops and Shrimp <opinion> great <sentiment> positive
The service is good and ambience is good for a date or group outing .,<triplet> service <opinion> good <sentiment> positive <triplet> ambience <opinion> good <sentiment> positive
The only fallback on this restaurant is the prices .,<triplet> restaurant <opinion> fallback <sentiment> negative
"Even though its good seafood , the prices are too high .",<triplet> seafood <opinion> good <sentiment> positive
Truly the mark of an attentive waiter .,<triplet> waiter <opinion> attentive <sentiment> positive
I highly recommend the restaurant based on our experience last night .,<triplet> restaurant <opinion> recommend <sentiment> positive
We ate at this Thai place following the reviews but very unhappy with the foods .,<triplet> foods <opinion> unhappy <sentiment> negative
"I recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",<triplet> jelly fish <opinion> recommend <sentiment> positive <triplet> drunken chicken <opinion> recommend <sentiment> positive <triplet> soupy dumplings <opinion> recommend <sentiment> positive <triplet> stir fry blue crab <opinion> recommend <sentiment> positive
The food is so cheap and the waiters are nice .,<triplet> food <opinion> cheap <sentiment> positive <triplet> waiters <opinion> nice <sentiment> positive
Have frequented 'ino for several years and the food remains excellent .,<triplet> food <opinion> excellent <sentiment> positive
Cheese plate is a varied delight and great bargain at $ 10 .,<triplet> Cheese plate <opinion> varied delight <sentiment> positive <opinion> great bargain <sentiment> positive
"( The asparagus , truffle oil , parmesan bruschetta is a winner ! )","<triplet> asparagus , truffle oil , parmesan bruschetta <opinion> winner <sentiment> positive"
Wine list is extensive without being over-priced .,<triplet> Wine list <opinion> extensive without being over-priced <sentiment> positive
"Be sure to try the seasonal , and always delicious , specials .",<triplet> specials <opinion> try <sentiment> positive <opinion> seasonal <sentiment> positive <opinion> delicious <sentiment> positive
I loved this place ! !,<triplet> place <opinion> loved <sentiment> positive
"The food was very good , a great deal , and the place its self was great .",<triplet> food <opinion> good <sentiment> positive <triplet> place <opinion> great <sentiment> positive
"The wait staff is very freindly , they make it feel like you 're eating in a freindly little european town .",<triplet> wait staff <opinion> freindly <sentiment> positive
"I like Cafe Noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",<triplet> people <opinion> evil <sentiment> negative <opinion> incompetent <sentiment> negative <triplet> Cafe Noir <opinion> like <sentiment> positive
"The service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",<triplet> service <opinion> terrible <sentiment> negative
"The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff , because despite the current one this is a great place .",<triplet> staff <opinion> good <sentiment> negative <triplet> Cafe Noir <opinion> great <sentiment> positive
Pizza here is consistently good .,<triplet> Pizza <opinion> good <sentiment> positive
Salads are a delicious way to begin the meal .,<triplet> Salads <opinion> delicious <sentiment> positive
You should pass on the calamari .,<triplet> calamari <opinion> pass <sentiment> negative
Decor is charming .,<triplet> Decor <opinion> charming <sentiment> positive
What a great place .,<triplet> place <opinion> great <sentiment> positive
I would definitely recommend SEA if you like thai cuisine !,<triplet> thai cuisine <opinion> like <sentiment> positive
I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,<triplet> customer service <opinion> worst <sentiment> negative
I absolutely Loved this place .,<triplet> place <opinion> Loved <sentiment> positive
"Excellent atmosphere , delicious dishes good and friendly service .",<triplet> atmosphere <opinion> Excellent <sentiment> positive <triplet> dishes <opinion> delicious <sentiment> positive <triplet> service <opinion> good <sentiment> positive <opinion> friendly <sentiment> positive
The wine list is also really nice .,<triplet> wine list <opinion> nice <sentiment> positive
"Everything was wonderful ; food , drinks , staff , mileau .",<triplet> food <opinion> wonderful <sentiment> positive <triplet> drinks <opinion> wonderful <sentiment> positive <triplet> staff <opinion> wonderful <sentiment> positive <triplet> mileau <opinion> wonderful <sentiment> positive
I have been to Casimir over 5 times and I have always had a great time there .,<triplet> Casimir <opinion> great time <sentiment> positive
The food is great and reasonably priced .,<triplet> food <opinion> great <sentiment> positive <opinion> reasonably priced <sentiment> positive
"The staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",<triplet> staff <opinion> nice <sentiment> positive <opinion> stressed <sentiment> positive <triplet> unisex bathroom <opinion> stressed <sentiment> negative
"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",<triplet> caviar <opinion> spectacular <sentiment> positive <opinion> enjoyed <sentiment> positive <triplet> waitstaff <opinion> hospitable <sentiment> positive <opinion> enjoyed <sentiment> positive
"Considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",<triplet> waitstaff <opinion> comfortable <sentiment> positive <opinion> relaxed <sentiment> positive
I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service .,<triplet> caviar <opinion> delicious top grade <sentiment> positive <triplet> service <opinion> fantastic <sentiment> positive
Friendly staff that actually lets you enjoy your meal and the company you 're with .,<triplet> staff <opinion> Friendly <sentiment> positive
"I found the food to be outstanding , particulary the salmon dish I had .",<triplet> food <opinion> outstanding <sentiment> positive <triplet> salmon dish <opinion> outstanding <sentiment> positive
"I also ordered the Change Mojito , which was out of this world .",<triplet> Change Mojito <opinion> out of this world <sentiment> positive
"We ate out in the back patio , which is worth it as it 's cool and the music is hear well there .",<triplet> back patio <opinion> worth <sentiment> positive <opinion> cool <sentiment> positive <triplet> music <opinion> well <sentiment> positive
"Overall , excellent restaurant !",<triplet> restaurant <opinion> excellent <sentiment> positive
The food was good .,<triplet> food <opinion> good <sentiment> positive
The place was nice and calm .,<triplet> place <opinion> nice <sentiment> positive <opinion> calm <sentiment> positive
but the service was a bit slow .,<triplet> service <opinion> slow <sentiment> negative
The buffet had a nice selection .,<triplet> buffet <opinion> nice <sentiment> positive
The food was average or above including some surprising tasty dishes .,<triplet> food <opinion> average or above <sentiment> positive <triplet> dishes <opinion> tasty <sentiment> positive
Service was also very good .,<triplet> Service <opinion> good <sentiment> positive
I got an excellent piece of cheesecake and we had several other nice pastries .,<triplet> cheesecake <opinion> excellent <sentiment> positive <triplet> pastries <opinion> nice <sentiment> positive
My son and his girlfriend both wanted cheeseburgers and they were huge !,<triplet> cheeseburgers <opinion> huge <sentiment> neutral
"Consequently , their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them .",<triplet> burgers <opinion> fell apart <sentiment> negative
"This place is really trendi but they have forgotten about the most important part of a restaurant , the food .",<triplet> food <opinion> forgotten <sentiment> negative <triplet> place <opinion> trendi <sentiment> positive
"The last two times I ordered from here my food was soo spicy that I could barely eat it , and the spice took away from the flavor of the dish .",<triplet> food <opinion> spicy <sentiment> negative
And the Tom Kha soup was pathetic .,<triplet> Tom Kha soup <opinion> pathetic <sentiment> negative
If you want good authentic Thai this place is not the place to go .,<triplet> Thai <opinion> good authentic <sentiment> negative
"The pesto pizza was excellent , thin-crust pizza with a nice amount of spicy Italian cheese that I 'd never heard of before .",<triplet> pesto pizza <opinion> excellent <sentiment> positive <triplet> spicy Italian cheese <opinion> nice <sentiment> positive
"THe back garden sitting area is very pleasant , where you can see their personal herb garden .",<triplet> back garden sitting area <opinion> pleasant <sentiment> positive
We had the lobster sandwich and it was FANTASTIC .,<triplet> lobster sandwich <opinion> FANTASTIC <sentiment> positive
"My husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",<triplet> portion <opinion> fine <sentiment> positive <triplet> french fries <opinion> best <sentiment> positive
We waited at the bar and had martinis that were just right .,<triplet> martinis <opinion> right <sentiment> positive
love the food .,<triplet> food <opinion> love <sentiment> positive
it 's the only place you can get yummy authentic japanese comfort food .,<triplet> japanese comfort food <opinion> yummy authentic <sentiment> positive
"Great food , good size menu , great service and an unpretensious setting .",<triplet> food <opinion> Great <sentiment> positive <triplet> menu <opinion> good size <sentiment> positive <triplet> service <opinion> great <sentiment> positive <triplet> setting <opinion> unpretensious <sentiment> positive
"The freshest , best variety , and the fastest delivery .",<triplet> delivery <opinion> fastest <sentiment> positive
"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",<triplet> sushi <opinion> particular <sentiment> positive <triplet> ceviche mix ( special ) <opinion> please <sentiment> positive <triplet> crab dumplings <opinion> please <sentiment> positive <triplet> assorted sashimi <opinion> please <sentiment> positive <triplet> rolls <opinion> please <sentiment> positive <triplet> two types of sake <opinion> please <sentiment> positive <triplet> banana tempura <opinion> please <sentiment> positive
Definitely a great spot for a nice occasion or date .,<triplet> spot <opinion> great <sentiment> positive
"Average to good Thai food , but terrible delivery .",<triplet> Thai food <opinion> Average to good <sentiment> positive <triplet> delivery <opinion> terrible <sentiment> negative
This is a wonderful place on all stand points especially value ofr money .,<triplet> place <opinion> wonderful <sentiment> positive
An excellent service,<triplet> service <opinion> excellent <sentiment> positive
We were greeted promptly by the waiter who was very nice and cordial .,<triplet> waiter <opinion> nice <sentiment> positive <opinion> cordial <sentiment> positive
She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food .,<triplet> dishes <opinion> good <sentiment> positive
We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .,<triplet> Gulab Jamun ( dessert ) <opinion> great <sentiment> positive
I thanked my friend who recommended me this restaurant and will certainly recommend it to others .,<triplet> restaurant <opinion> recommend <sentiment> positive
"Service here was great , food was fantastic .",<triplet> Service <opinion> great <sentiment> positive <triplet> food <opinion> fantastic <sentiment> positive
"Guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared .",<triplet> Guacamole+shrimp appetizer <opinion> great <sentiment> positive <triplet> filet <opinion> good <sentiment> positive
You can not go wrong with this place .,<triplet> place <opinion> wrong <sentiment> positive
"The food is outstanding and the service is quick , friendly and very professional .",<triplet> food <opinion> outstanding <sentiment> positive <triplet> service <opinion> quick <sentiment> positive <opinion> friendly <sentiment> positive <opinion> professional <sentiment> positive
"Always a nice crowd , but never loud .",<triplet> crowd <opinion> nice <sentiment> positive <opinion> never loud <sentiment> positive
I am reluctant to write because I would not want my jem of a pizza place to become overcrowded .,<triplet> pizza place <opinion> overcrowded <sentiment> positive
"The crust is thin , the ingredients are fresh and the staff is friendly .",<triplet> crust <opinion> thin <sentiment> positive <triplet> staff <opinion> friendly <sentiment> positive <triplet> ingredients <opinion> fresh <sentiment> positive
"The fish was really , really fresh .",<triplet> fish <opinion> fresh <sentiment> positive
We all agreed that mare is one of the best seafood restaurants in New York .,<triplet> mare <opinion> best <sentiment> positive
I stumbled upon this great pizzeria as I explored my new neighborhood .,<triplet> pizzeria <opinion> great <sentiment> positive
All of the pizzas are terrific and the price is even better !,<triplet> pizzas <opinion> terrific <sentiment> positive
I highly recommend the Sophia pizza .,<triplet> Sophia pizza <opinion> recommend <sentiment> positive
"For the people who want great food plus great service , Roxy is a place to AVOID !",<triplet> food <opinion> great <sentiment> negative <triplet> service <opinion> great <sentiment> negative
"The first time the sushi was outstanding , the second time it was a little bland .",<triplet> sushi <opinion> outstanding <sentiment> negative <opinion> bland <sentiment> negative
"The blond wood decor is very soothing , the premium sake is excellent and the service is great .",<triplet> blond wood decor <opinion> soothing <sentiment> positive <triplet> premium sake <opinion> soothing <sentiment> positive <triplet> service <opinion> great <sentiment> positive
Warning : You may find it difficult to dine at other Japanese restaurants after a visit to Mizu !,<triplet> Mizu <opinion> difficult <sentiment> positive
"Thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",<triplet> people <opinion> beautiful <sentiment> positive <triplet> food <opinion> does n't quite match up <sentiment> negative <triplet> Thalia <opinion> beautiful <sentiment> positive
I ordered the smoked salmon and roe appetizer and it was off flavor .,<triplet> smoked salmon and roe appetizer <opinion> off flavor <sentiment> negative
I expected quite a bit more from such an expensive menu .,<triplet> menu <opinion> expensive <sentiment> negative
"The view is spectacular , and the food is great .",<triplet> view <opinion> spectacular <sentiment> positive <triplet> food <opinion> great <sentiment> positive
delicious simple food in nice outdoor atmosphere .,<triplet> food <opinion> delicious simple <sentiment> positive <triplet> outdoor atmosphere <opinion> nice <sentiment> positive
"Kind , attentive wait staff .",<triplet> wait staff <opinion> Kind <sentiment> positive <opinion> attentive <sentiment> positive
I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,<triplet> scallops <opinion> like <sentiment> positive <triplet> mahi mahi ( on saffron risotto <opinion> like <sentiment> positive
Delicious crab cakes too .,<triplet> crab cakes <opinion> Delicious <sentiment> positive
"Even if the food was n't this good , the garden is a great place to sit outside and relax .",<triplet> garden <opinion> great <sentiment> positive <triplet> food <opinion> was n't this good <sentiment> positive
"Their calzones are horrific , bad , vomit-inducing , YUCK .",<triplet> calzones <opinion> horrific <sentiment> negative <opinion> bad <sentiment> negative <opinion> vomit-inducing <sentiment> negative <opinion> YUCK <sentiment> negative
The counter service is bad .,<triplet> counter service <opinion> bad <sentiment> negative
"The sandwiches are dry , tasteless and way overpriced .",<triplet> sandwiches <opinion> dry <sentiment> negative <opinion> tasteless <sentiment> negative <opinion> overpriced <sentiment> negative
"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",<triplet> place <opinion> unattractive <sentiment> negative <triplet> room <opinion> unattractive <sentiment> negative <triplet> clerks <opinion> unhelpful <sentiment> negative
"Seriously , this place kicks ass .",<triplet> place <opinion> kicks ass <sentiment> positive
"The atmosphere is unheralded , the service impecible , and the food magnificant .",<triplet> atmosphere <opinion> unheralded <sentiment> positive <triplet> service <opinion> impecible <sentiment> positive <triplet> food <opinion> magnificant <sentiment> positive
"This is such a lovely , peaceful place to eat outside .",<triplet> place <opinion> lovely <sentiment> positive <opinion> peaceful <sentiment> positive
"This is a great place to take out-of-towners , and perfect for watching the sunset .",<triplet> place <opinion> great <sentiment> positive
Great sushi experience .,<triplet> sushi <opinion> Great <sentiment> positive
Unique apppetizers .,<triplet> apppetizers <opinion> Unique <sentiment> positive
Try sushimi cucumber roll .,<triplet> sushimi cucumber roll <opinion> Try <sentiment> positive
The service is awful .,<triplet> service <opinion> awful <sentiment> negative
This place is not worth the prices .,<triplet> place <opinion> not worth the prices <sentiment> negative
Love Pizza 33 ...,<triplet> Pizza 33 <opinion> Love <sentiment> positive
I will be out with friends and all of a sudden I am hungry and I only crave one thing ... their Pizza .,<triplet> Pizza <opinion> crave <sentiment> positive
This tiny Williamsburg spot is always pleasantly surprising .,<triplet> Williamsburg spot <opinion> surprising <sentiment> positive
The pizza is delicious and the proprietor is one of the nicest in NYC .,<triplet> pizza <opinion> delicious <sentiment> positive <triplet> proprietor <opinion> nicest <sentiment> positive
"Bagels are ok , but be sure not to make any special requests !",<triplet> Bagels <opinion> ok <sentiment> neutral
the turkey burgers are scary !,<triplet> turkey burgers <opinion> scary <sentiment> negative
The sushi was awful !,<triplet> sushi <opinion> awful <sentiment> negative
The rice was poor quality and was cooked so badly it was hard .,<triplet> rice <opinion> poor quality <sentiment> negative <opinion> cooked so badly <sentiment> negative <opinion> hard <sentiment> negative
"Furthermore , the rice had no seasoning , so the sushi was bland and disgusting .",<triplet> sushi <opinion> bland <sentiment> negative <opinion> disgusting <sentiment> negative
"Good , fast service .",<triplet> service <opinion> Good <sentiment> positive <opinion> fast <sentiment> positive
Food is great and inexpensive .,<triplet> Food <opinion> great <sentiment> positive <opinion> inexpensive <sentiment> positive
The location is perfect .,<triplet> location <opinion> perfect <sentiment> positive
If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .,<triplet> bottle <opinion> love <sentiment> negative <triplet> music <opinion> like <sentiment> negative
Great atmoshere and worth every bit .,<triplet> atmoshere <opinion> Great <sentiment> positive
Winnie and her staff are the best crew you can find serving you .,<triplet> staff <opinion> best <sentiment> positive <triplet> Winnie <opinion> best <sentiment> positive
The food is reliable and the price is moderate .,<triplet> food <opinion> reliable <sentiment> positive
"For authentic Thai food , look no further than Toons .",<triplet> Thai food <opinion> authentic <sentiment> positive
"Try the Pad Thai , or sample anything on the appetizer menu ... they 're all delicious .",<triplet> Pad Thai <opinion> Try <sentiment> positive <opinion> delicious <sentiment> positive <triplet> appetizer menu <opinion> delicious <sentiment> positive
"The service was attentive , yet discreet .",<triplet> service <opinion> attentive <sentiment> positive <opinion> discreet <sentiment> positive
The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,<triplet> brioche and lollies <opinion> cute <sentiment> positive <opinion> sweet <sentiment> positive
The place was quiet and delightful .,<triplet> place <opinion> quiet <sentiment> positive <opinion> delightful <sentiment> positive
Service was good and food is wonderful .,<triplet> Service <opinion> good <sentiment> positive <triplet> food <opinion> wonderful <sentiment> positive
I did not try the caviar but I tried their salmon and crab salad ( they are all good ),<triplet> salmon <opinion> good <sentiment> positive <triplet> crab salad <opinion> good <sentiment> positive
It is definitely a good spot for snacks and chat .,<triplet> spot <opinion> good <sentiment> positive
"As a retired hipster , I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city .",<triplet> Lucky Strike <opinion> best <sentiment> positive
"The wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she's-way-cuter-than-me-that-b @ # $ * way ) .",<triplet> wait staff <opinion> pleasant <sentiment> positive <opinion> fun <sentiment> positive <opinion> gorgeous <sentiment> positive
"The food is yummy , especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries .",<triplet> food <opinion> yummy <sentiment> positive <triplet> mussels in spicy tomato sauce <opinion> yummy <sentiment> positive <opinion> cooked-to-perfection <sentiment> positive <triplet> fries <opinion> yummy <sentiment> positive <opinion> crispy <sentiment> positive
"But the best part about LS is the late night atmosphere , delightfully free of the BTs .",<triplet> late night atmosphere <opinion> best <sentiment> positive
